Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/gacha/goods/v2/list,36167,0,120.0,210.19811198052977,91.501300001255,57279.24119999989,66817.0,40.37733906381604,0.0,120,130,130,140,160,180,260,350,37000,55000,57000
,Aggregated,36167,0,120.0,210.19811198052977,91.501300001255,57279.24119999989,66817.0,40.37733906381604,0.0,120,130,130,140,160,180,260,350,37000,55000,57000
